,username,comment,reply,retweet,like,Sentimiento
0,Presidencia ECU,"El presidente @LassoGuillermo, durante su primer día de actividades como Jefe de Estado, dedicó un momento para saludar, desde el balcón presidencial, a los ciudadanos ubicados en la Plaza de la Independencia. #GobiernoDelEncuentro",166,556,4500,0.9998495904271076
1,Guillermo Lasso,"Hoy tuve la oportunidad de dialogar con @leopoldolopez y @liliantintori, grandes líderes venezolanos comprometidos con la libertad y la democracia en la región. Agradezco su visita, Ecuador siempre tendrá sus puertas abiertas. #GobiernoDelEncuentro#JuntosLoLogramos",581,874,4200,0.0033349271489845544
2,Guillermo Lasso,"Fue un honor recibir a representantes de @USembassyEC y @USAmbUN, quien lidera la comitiva de EEUU. Estamos comprometidos con fortalecer las relaciones entre nuestros países. La cooperación es el camino para lograr bienestar en Ecuador.#GobiernoDelEncuentro #JuntosLoLogramos",207,638,2800,0.005505671333546815
3,Guillermo Lasso,"Esta noche mantuvimos la primera reunión del Consejo de Seguridad, donde se estableció la importancia de la cooperación integral para garantizar un Ecuador seguro. Hice un compromiso y hoy comienzo a cumplirlo: trabajar por la seguridad de los ciudadanos. #JuntosLoLogramos",368,1100,5800,1.5362881023997612e-05
4,Guillermo Lasso,El Decreto que elimina los registros de crédito con deudas vencidas menores a $1.000 es clave para la reactivación económica de las familias ecuatorianas.Reiteramos nuestro compromiso de una gestión responsable y solidaria.#GobiernoDelEncuentro#JuntosLoLogramos,256,875,3500,5.341400263273876e-06
5,Guillermo Lasso,"El #GobiernoDelEncuentro, a su servicio. #JuntosLoLogramos",375,1300,8800,0.35461377618353984
6,Guillermo Lasso,"Empieza el cambio, bienvenidos al Ecuador del Encuentro. ¡GRACIAS ECUADOR! #GobiernoDelEncuentro#JuntosLoLogramos",1.1K,5700,26300,0.22907380958058454
7,Guillermo Lasso,"“Este 24 de mayo de 2021, empezamos a construir la cultura del ENCUENTRO y de la RECONCILIACIÓN en el Ecuador.Es momento de trabajar juntos, por los graves problemas, que hoy enfrenta nuestra nación.” - @GuadalupeLlori, Presidenta de la Asamblea Nacional. #JuntosLoLogramos",125,620,3600,0.0014443704700665108
8,Guillermo Lasso,"En el Gobierno del encuentro, @MarceloHCabrera se unirá como Ministro de Transporte y Obras Públicas. Tendrá a su cargo una importante cartera de Estado para promover oportunidades de crecimiento y modernización. Impulsaremos la reactivación y obras de desarrollo. ",234,337,1900,0.20315696914495415
9,Guillermo Lasso,"El Secretario General de Comunicación será @Edu_Bonilla. Por más de 15 años Eduardo ha trabajado en este proyecto político: en el Plan de Gobierno, en territorio y en la comunicación de la campaña. 100% comprometido, dedicado, y con voluntad de trabajar por el cambio.",160,281,1500,0.0003621225871953043
